category_id	category_name	parent_category_id	sort_order	is_active	category_url	include_in_menu
1	Root	0	0	1	/	1
40	Triad	1	1	1	/catalog/category/view/s/triad/id/40/	1
41	"Fluid Connectors"	40	1	1	/fluid-connectors.html	1
42	"Hose and Fitting Products"	41	1	1	/fluid-connectors/hose-and-fitting-products.html	1
43	"Hydraulic Hose"	42	1	1	/fluid-connectors/hose-and-fitting-products/hydraulic-hose.html	1
299	"Thermoplastic Hydraulic Hoses"	43	1	1	/fluid-connectors/hose-and-fitting-products/hydraulic-hose/thermoplastic-hydraulic-hoses.html	1
300	"Rubber Hydraulic Hoses"	43	2	1	/fluid-connectors/hose-and-fitting-products/hydraulic-hose/rubber-hydraulic-hoses.html	1
44	"Crimp Hose Fittings"	42	2	1	/fluid-connectors/hose-and-fitting-products/crimp-hose-fittings.html	1
47	"Hose Assembly Equipment"	42	9	1	/fluid-connectors/hose-and-fitting-products/hose-assembly-equipment.html	1
187	"Equipment Accessories"	47	1	1	/fluid-connectors/hose-and-fitting-products/hose-assembly-equipment/equipment-accessories.html	1
169	"Industrial Hose"	42	3	1	/fluid-connectors/hose-and-fitting-products/industrial-hose.html	1
170	"Water Hose"	169	1	1	/fluid-connectors/hose-and-fitting-products/industrial-hose/water-hose.html	1
171	"Petroleum Hose"	169	2	1	/fluid-connectors/hose-and-fitting-products/industrial-hose/petroleum-hose.html	1
172	"Welding Hose"	169	3	1	/fluid-connectors/hose-and-fitting-products/industrial-hose/welding-hose.html	1
173	"Steam Hose"	169	4	1	/fluid-connectors/hose-and-fitting-products/industrial-hose/steam-hose.html	1
174	"Industrial Hose Crimp Equipment"	169	5	1	/fluid-connectors/hose-and-fitting-products/industrial-hose/industrial-hose-crimp-equipment.html	1
175	"PVC Hose"	169	6	1	/fluid-connectors/hose-and-fitting-products/industrial-hose/pvc-hose.html	1
176	"Material Handling Hose"	169	7	1	/fluid-connectors/hose-and-fitting-products/industrial-hose/material-handling-hose.html	1
178	"Food and Beverage Hose"	169	8	1	/fluid-connectors/hose-and-fitting-products/industrial-hose/food-and-beverage-hose.html	1
179	"Specialty Hose"	169	9	1	/fluid-connectors/hose-and-fitting-products/industrial-hose/specialty-hose.html	1
180	"Chemical Hose"	169	10	1	/fluid-connectors/hose-and-fitting-products/industrial-hose/chemical-hose.html	1
181	"Oil Field Hose"	169	11	1	/fluid-connectors/hose-and-fitting-products/industrial-hose/oil-field-hose.html	1
182	"Transportation Hose"	42	5	1	/fluid-connectors/hose-and-fitting-products/transportation-hose.html	1
183	"Air Conditioning Hose"	42	6	1	/fluid-connectors/hose-and-fitting-products/air-conditioning-hose.html	1
184	"Marine Hose"	42	7	1	/fluid-connectors/hose-and-fitting-products/marine-hose.html	1
185	"Suction and Return Hose"	42	8	1	/fluid-connectors/hose-and-fitting-products/suction-and-return-hose.html	1
188	"Field Attachable Hose Fittings"	42	10	1	/fluid-connectors/hose-and-fitting-products/field-attachable-hose-fittings.html	1
318	"PTFE Hose"	42	11	1	/fluid-connectors/hose-and-fitting-products/ptfe-hose.html	1
324	"Plastic Hose Fittings"	42	12	1	/fluid-connectors/hose-and-fitting-products/plastic-hose-fittings.html	1
337	"Multi-Purpose & Air Hoses"	42	4	1	/fluid-connectors/hose-and-fitting-products/multi-purpose-air-hoses.html	1
45	"Multipurpose Hose"	337	2	1	/fluid-connectors/hose-and-fitting-products/multi-purpose-air-hoses/multipurpose-hose.html	1
168	"Air Hose"	337	1	1	/fluid-connectors/hose-and-fitting-products/multi-purpose-air-hoses/air-hose.html	1
48	"Tube Fittings"	41	2	1	/fluid-connectors/tube-fittings.html	1
191	"Pipe Fittings and Port Adapters"	48	2	1	/fluid-connectors/tube-fittings/pipe-fittings-and-port-adapters.html	1
192	"Ferulok Flareless Tube Fittings"	48	3	1	/fluid-connectors/tube-fittings/ferulok-flareless-tube-fittings.html	1
193	"Diagnostic Fittings and Adapters"	48	4	1	/fluid-connectors/tube-fittings/diagnostic-fittings-and-adapters.html	1
194	"Seal-Lok Tube Fittings and Adapters"	48	5	1	/fluid-connectors/tube-fittings/seal-lok-tube-fittings-and-adapters.html	1
195	"Conversion Adapters"	48	6	1	/fluid-connectors/tube-fittings/conversion-adapters.html	1
196	"Dual Seal Subsea Flange Adapters"	48	7	1	/fluid-connectors/tube-fittings/dual-seal-subsea-flange-adapters.html	1
197	"Tube Fitting Equipment and Tooling"	48	8	1	/fluid-connectors/tube-fittings/tube-fitting-equipment-and-tooling.html	1
198	"Flange Adapters"	48	9	1	/fluid-connectors/tube-fittings/flange-adapters.html	1
199	"Intrulok Brass Flareless Bite Type Tube Fittings"	48	10	1	/fluid-connectors/tube-fittings/intrulok-brass-flareless-bite-type-tube-fittings.html	1
200	"Hydraulic BSP Adapters"	48	11	1	/fluid-connectors/tube-fittings/hydraulic-bsp-adapters.html	1
201	"37° Triple-Lok Tube Fittings and Adapters"	48	1	1	/fluid-connectors/tube-fittings/37-triple-lok-tube-fittings-and-adapters.html	1
325	"EO/EO2 Tube Fittings and Adapters"	48	12	1	/fluid-connectors/tube-fittings/eo-eo2-tube-fittings-and-adapters.html	1
50	"Quick Couplings"	41	3	1	/fluid-connectors/quick-couplings.html	1
51	"Hydraulic Quick Couplings"	50	1	1	/fluid-connectors/quick-couplings/hydraulic-quick-couplings.html	1
202	"Pneumatic Quick Couplings"	50	2	1	/fluid-connectors/quick-couplings/pneumatic-quick-couplings.html	1
203	"Check Valves"	50	3	1	/fluid-connectors/quick-couplings/check-valves.html	1
204	"Test Port and Diagnostic Couplings"	50	4	1	/fluid-connectors/quick-couplings/test-port-and-diagnostic-couplings.html	1
205	"Quick Coupling Repair Kit"	50	5	1	/fluid-connectors/quick-couplings/quick-coupling-repair-kit.html	1
206	"Instrumentation Couplings"	50	6	1	/fluid-connectors/quick-couplings/instrumentation-couplings.html	1
207	"Pressure Relief Valves"	50	7	1	/fluid-connectors/quick-couplings/pressure-relief-valves.html	1
208	"Diagnostics and Testing Equipment"	50	8	1	/fluid-connectors/quick-couplings/diagnostics-and-testing-equipment.html	1
209	"Thermoplastic Quick Couplings"	50	9	1	/fluid-connectors/quick-couplings/thermoplastic-quick-couplings.html	1
212	Tubing	41	4	1	/fluid-connectors/tubing.html	1
213	"PTFE Tubing"	212	1	1	/fluid-connectors/tubing/ptfe-tubing.html	1
214	"Polyethylene Tubing"	212	2	1	/fluid-connectors/tubing/polyethylene-tubing.html	1
215	"Heat Trace Tubing"	212	3	1	/fluid-connectors/tubing/heat-trace-tubing.html	1
216	"Fluoropolymer Tubing"	212	4	1	/fluid-connectors/tubing/fluoropolymer-tubing.html	1
217	"Plastic Tubing"	212	5	1	/fluid-connectors/tubing/plastic-tubing.html	1
218	"Copper Tubing"	212	6	1	/fluid-connectors/tubing/copper-tubing.html	1
219	"Heat Shrink Tubing"	212	7	1	/fluid-connectors/tubing/heat-shrink-tubing.html	1
222	"Pneumatic and Brass Fittings"	41	5	1	/fluid-connectors/pneumatic-and-brass-fittings.html	1
221	"Refrigeration Valves"	222	12	1	/fluid-connectors/pneumatic-and-brass-fittings/refrigeration-valves.html	1
223	"Field Attachable Air Brake Hose Fittings"	222	1	1	/fluid-connectors/pneumatic-and-brass-fittings/field-attachable-air-brake-hose-fittings.html	1
224	"Blow Gun"	222	2	1	/fluid-connectors/pneumatic-and-brass-fittings/blow-gun.html	1
225	"Poly-Tite Fittings"	222	3	1	/fluid-connectors/pneumatic-and-brass-fittings/poly-tite-fittings.html	1
226	"Standard Compression Fitting"	222	4	1	/fluid-connectors/pneumatic-and-brass-fittings/standard-compression-fitting.html	1
227	"Compress-Align Fitting"	222	5	1	/fluid-connectors/pneumatic-and-brass-fittings/compress-align-fitting.html	1
228	"Barbed Fittings"	222	6	1	/fluid-connectors/pneumatic-and-brass-fittings/barbed-fittings.html	1
229	"Dubl-Barb Hose Fittings"	228	1	1	/fluid-connectors/pneumatic-and-brass-fittings/barbed-fittings/dubl-barb-hose-fittings.html	1
230	"DOT Approved Air Brake Tube Fittings"	222	7	1	/fluid-connectors/pneumatic-and-brass-fittings/dot-approved-air-brake-tube-fittings.html	1
231	"Nylon Tube Air (NTA)"	230	1	1	/fluid-connectors/pneumatic-and-brass-fittings/dot-approved-air-brake-tube-fittings/nylon-tube-air-nta.html	1
232	"PTC Series Push to Connect DOT Air Brake Tube Fittings"	230	2	1	/fluid-connectors/pneumatic-and-brass-fittings/dot-approved-air-brake-tube-fittings/ptc-series-push-to-connect-dot-air-brake-tube-fittings.html	1
233	"Pneumatic Push-to-Connect Fittings"	222	8	1	/fluid-connectors/pneumatic-and-brass-fittings/pneumatic-push-to-connect-fittings.html	1
234	"Composite Fittings"	233	1	1	/fluid-connectors/pneumatic-and-brass-fittings/pneumatic-push-to-connect-fittings/composite-fittings.html	1
235	"Transmission Fittings"	222	9	1	/fluid-connectors/pneumatic-and-brass-fittings/transmission-fittings.html	1
236	"Fast-Tite Fittings"	222	10	1	/fluid-connectors/pneumatic-and-brass-fittings/fast-tite-fittings.html	1
237	"Brass Pipe Fittings"	222	11	1	/fluid-connectors/pneumatic-and-brass-fittings/brass-pipe-fittings.html	1
319	"True Seal Thermoplastic Tube Fittings"	222	13	1	/fluid-connectors/pneumatic-and-brass-fittings/true-seal-thermoplastic-tube-fittings.html	1
326	"Pneumatic Flow Control"	222	14	1	/fluid-connectors/pneumatic-and-brass-fittings/pneumatic-flow-control.html	1
